VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP8D,King,Shoreline,WA,98177,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32,125450447,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020100
5YJSA1E45K,King,Seattle,WA,98112,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,43,101662900,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
WVGUNPE28M,Kitsap,Olalla,WA,98359,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,272118717,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
JTDKARFP6H,Thurston,Olympia,WA,98501,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,349372929,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
1FADP5CU9G,Thurston,Olympia,WA,98506,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,171625653,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010300
5YJ3E1EA9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,127104078,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5YJSA1E26J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,1,104605490,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
1C4JJXP6XP,Kitsap,Poulsbo,WA,98370,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,23,240675865,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
5UXTS1C01M,Thurston,Rochester,WA,98579,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,20,152190328,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012730
JN1AZ0CP2C,King,Burien,WA,98168,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,33,213452795,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027100
5YJ3E1EBXL,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,23,104355884,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090902
1N4AZ0CP8D,King,Seattle,WA,98125,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,46,231656428,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
5UXTS1C04M,Snohomish,Mill Creek,WA,98012,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,44,272548881,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052008
KNDCE3LG3L,Kitsap,Silverdale,WA,98383,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23,151753045,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091302
KNDCR3LF8P,Snohomish,Monroe,WA,98272,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,39,254596093,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
5YJXCAE20J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,273626384,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052010
5YJ3E1EA3P,Kitsap,Bremerton,WA,98310,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,230680012,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080102
WVWKR7AU8K,Snohomish,Everett,WA,98208,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,44,107329708,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041605
3FA6P0SU6F,Snohomish,Mill Creek,WA,98012,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,44,349890761,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061041609
5YJSA1E25J,King,Seattle,WA,98121,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,36,187481402,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003
5YJ3E1EA8J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,171277795,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
2C4RC1S75N,Snohomish,Bothell,WA,98012,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,1,225742457,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051934
1N4BZ0CP9G,King,Seattle,WA,98115,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,3832804,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
WBY1Z6C34H,Snohomish,Snohomish,WA,98290,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,44,115260113,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052401
