Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,5:30am-9pm; pay lot,,,,,,7,,,Non-Networked,,GPS,34.040539,-118.271387,2023-01-10,1523,2023-02-14 15:54:11 UTC,P,,,1995-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.89947,-117.243,2024-08-15,6355,2024-08-15 19:57:12 UTC,P,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free; parking fee,,,,,,,,,,false,,,,,,,,,false,
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2023-08-10,6405,2024-01-31 22:07:01 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,MD,false,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4,,,Non-Networked,,GPS,33.909914,-117.459053,2023-09-14,6425,2024-01-31 22:07:01 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,16,,,Non-Networked,,200-8,34.14762,-118.147111,2023-10-12,6505,2024-01-31 22:07:01 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,GPS,34.145138,-118.152655,2023-01-10,6506,2023-02-14 15:54:11 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,GPS,34.145119,-118.150133,2023-01-10,6507,2023-02-14 15:54:11 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1 for the first two hours, $2 each additional hour; parking fee",,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2023-01-10,7172,2023-02-14 15:54:11 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2024-08-15,7184,2024-08-15 19:57:12 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$2 service fee + $0.45 per kWh,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,,Northridge,CA,91324,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,5,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.238716,-118.554686,2024-12-09,7192,2024-12-09 02:49:00 UTC,,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
