Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,geometry,index_right,GEOID_20,TRACT_20_N,AREA_SQMI
ELEC,Caplan's Rainbow Parking,214 Columbia St,,Seattle,WA,98104,,206-682-2991,E,,Public,Garage business hours; see the valet for access,,,,,,2.0,,,Non-Networked,,200-8,47.604115,-122.332907,2024-06-13,41579,2024-06-13 17:18:06 UTC,P,,,2011-10-01,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,POINT (-122.332907 47.604115),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,City of Seattle - Central Library,1000 4th Ave,,Seattle,WA,98104,,206-386-4636,E,,Public,24 hours daily,,,,,,3.0,,,Non-Networked,,200-9,47.606684,-122.332664,2024-11-06,44153,2024-11-06 19:40:58 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,$2 per session,,,,,,,,,,False,,,,,,,,LD,False,,POINT (-122.332664 47.606684),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,City of Seattle - Seattle Center,516 Harrison St,Located in the 5th Ave Garage,Seattle,WA,98109,,206-684-7340,E,,Public - Credit card at all times,24 hours daily; parking fee,A D M V,,,,,6.0,,,Non-Networked,,200-8,47.622085,-122.347124,2024-11-06,44159,2024-11-06 19:40:58 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,POINT (-122.347124 47.622085),100.0,53033007203,Census Tract 72.03,0.223786334359
ELEC,KING COUNTY DES KSC STATION #1,201 S Jackson St,Just to the right as you enter garage,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.598663,-122.331009,2024-12-09,49230,2024-12-09 00:44:30 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.331009 47.598663),133.0,53033009300,Census Tract 93,3.89300400897
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,Via 6 Apartments Parking Garage,Seattle,WA,98121,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.613883,-122.339405,2024-12-09,55995,2024-12-09 01:00:59 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.339405 47.613883),99.0,53033007202,Census Tract 72.02,0.108330308181
ELEC,800 FIFTH AVE STATION 2,800  5th Ave,,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.605599,-122.330626,2024-12-09,56870,2024-12-09 00:31:26 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.330626 47.605599),125.0,53033008500,Census Tract 85,0.174117643765
ELEC,AMLI SLU AMLI SLU #1,1250-1282 Republican St,,Seattle,WA,98109,,888-758-4389,T,2024-08-21,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.62313,-122.331442,2024-12-09,62796,2024-12-09 00:31:47 UTC,,,,2014-08-06,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.331442 47.62313),101.0,53033007301,Census Tract 73.01,0.0968256466811
ELEC,UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Northwest corner of parking garage,Seattle,WA,98105,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.658961,-122.3185,2024-12-09,63313,2024-12-09 00:33:16 UTC,,,,2014-09-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.3185 47.658961),67.0,53033005202,Census Tract 52.02,0.111385521396
ELEC,UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Northwest corner of Pprking garage,Seattle,WA,98105,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.658409,-122.318392,2024-12-09,63338,2024-12-09 00:33:10 UTC,,,,2014-09-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.318392 47.658409),67.0,53033005202,Census Tract 52.02,0.111385521396
ELEC,BMW SEATTLE BMW SALES,1002 Airport Way S,WELCOME TO BMW SEATTLE. USAGE IS FOR BMW SEATTLE CLIENTS ONLY LOCATED IN THE SALES PARKING AREA AVAIL FROM 8AM TO 5PM MONDAY THROUGH SATURDAY,Seattle,WA,98065,,888-758-4389,T,2024-11-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.594042,-122.323977,2024-12-09,64185,2024-12-09 00:31:08 UTC,,,,2014-11-14,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.323977 47.594042),133.0,53033009300,Census Tract 93,3.89300400897
ELEC,525 NORTHGATE RETAIL #1,525 NE Northgate Way,SE corner of Total Wine garage,Seattle,WA,98125,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.707951,-122.321496,2024-12-09,66221,2024-12-09 00:34:43 UTC,,,,2015-02-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.321496 47.707951),17.0,53033001202,Census Tract 12.02,0.317132471185
ELEC,VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Emergency Department / Baroness Inn Lot,Seattle,WA,98101,,888-758-4389,T,2024-05-11,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.609528,-122.326393,2024-12-09,68940,2024-12-09 00:37:31 UTC,,,,2015-08-11,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.326393 47.609528),122.0,53033008300,Census Tract 83,0.0918731526263
ELEC,INSIGNIA 953 EV216,588 Bell St,,Seattle,WA,98121,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616552,-122.342727,2024-12-09,69853,2024-12-09 00:38:58 UTC,,,,2015-09-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.342727 47.616552),98.0,53033007201,Census Tract 72.01,0.0582012920532
ELEC,MADISON GARAGE MADISON GARAGE2,1229 Madison St,"Level 4, near elevators",Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.610087,-122.322114,2024-12-09,72656,2024-12-09 00:38:36 UTC,,,,2016-01-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.322114 47.610087),123.0,53033008401,Census Tract 84.01,0.0968766718904
ELEC,Expo Apartments,118 Republican St,,Seattle,WA,98109,,206-751-1356,E,,Public,24 hours daily; apartment residents only,,,,,,1.0,,,Non-Networked,,GPS,47.6232795,-122.354922,2023-09-14,72739,2024-01-31 22:07:01 UTC,P,,,2016-01-25,,,,,J1772,US,,,,Public,,public,,,MULTI_UNIT_DWELLING,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,,POINT (-122.354922 47.6232795),96.0,53033007101,Census Tract 71.01,0.191132726679
ELEC,Bedrooms & More,300 NE 45th St,,Seattle,WA,98105,,206-633-4505,E,,Public,"9am-6pm M-F, 9am-6pm Sat, 10am-6pm Sun; customer use only",,,,,,1.0,,,Non-Networked,,200-9,47.66159,-122.324877,2023-06-12,74301,2024-01-31 22:07:01 UTC,P,,,2011-10-01,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,POINT (-122.324877 47.66159),66.0,53033005201,Census Tract 52.01,0.298409636301
ELEC,SAFECO PLAZA SAFECO PLAZA #1,1001 4th Ave Safeco Plaza,Garage entrance is on Madison St between 4th and 3rd Ave. Garage is open 6am - 8:30pm Mon - Fri. Closed weekends.,Seattle,WA,98154,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.606106,-122.333782,2024-12-09,75391,2024-12-09 00:41:04 UTC,,,,2016-04-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.333782 47.606106),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,PSS CHARGEPOINT PSS #2 NORTH,801 Rainier Ave S,far right door,Seattle,WA,98144,,888-758-4389,T,2023-06-01,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.595546,-122.31163,2024-12-09,78230,2024-12-09 00:42:59 UTC,,,,2016-09-01,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.31163 47.595546),134.0,53033009400,Census Tract 94,0.651064109786
